cluster_id,min_lat,min_lon,max_lat,max_lon,mean_lat,mean_lon
0,-54.887208333333,-176.81130912065618,-21.501435738728247,-87.92788457595303,-43.532155669434445,-175.16965440053036
1,-54.887208333333,-87.92788457595303,-46.54076518468182,-65.70702843977725,-52.83911058720759,-69.97049659752754
2,-54.887208333333,-65.70702843977725,-46.54076518468182,-43.48617230360146,-51.69177829429435,-57.87147149504169
3,-46.54076518468182,-76.81745650786513,-42.36754361035622,-65.70702843977725,-43.064022406687926,-72.08533481128082
4,-42.36754361035622,-76.81745650786513,-40.280932823193424,-71.26224247382119,-41.083866181388565,-71.62382852820703
5,-42.36754361035622,-71.26224247382119,-40.280932823193424,-65.70702843977725,-40.551777598218294,-70.73476068545202
6,-40.280932823193424,-76.81745650786513,-38.19432203603063,-71.26224247382119,-38.88633999858544,-72.26690505486575
7,-40.280932823193424,-71.26224247382119,-38.19432203603063,-65.70702843977725,-39.43252634717636,-69.5415326724586
8,-46.54076518468182,-65.70702843977725,-38.19432203603063,-43.48617230360146,-38.57177950090708,-59.9060379079692
9,-38.19432203603063,-74.03984949084315,-37.15101664244923,-71.26224247382119,-37.462888242110246,-72.30247025504629
10,-37.15101664244923,-73.34544773658766,-36.89019029405388,-72.65104598233216,-37.03085014645363,-72.90955698238258
11,-36.89019029405388,-73.34544773658766,-36.7597771198562,-72.99824685945991,-36.81213504894157,-73.06375453971924
12,-36.89019029405388,-72.99824685945991,-36.7597771198562,-72.65104598233216,-36.832307735674384,-72.92211821790572
13,-36.7597771198562,-73.34544773658766,-36.629363945658525,-72.99824685945991,-36.73333261655126,-73.1051284867236
14,-36.7597771198562,-72.99824685945991,-36.629363945658525,-72.65104598233216,-36.73909618398473,-72.93940494170596
15,-37.15101664244923,-72.65104598233216,-36.629363945658525,-71.26224247382119,-36.8731521086885,-72.28475739579679
16,-36.629363945658525,-74.03984949084315,-36.10771124886783,-72.65104598233216,-36.51719337787234,-72.91052295717688
17,-36.629363945658525,-72.65104598233216,-36.10771124886783,-71.26224247382119,-36.30597218009505,-71.75592471154785
18,-38.19432203603063,-71.26224247382119,-36.10771124886783,-65.70702843977725,-37.740423895366526,-68.48232435436529
19,-36.10771124886783,-74.03984949084315,-35.586058552077134,-72.65104598233216,-35.89048445227239,-72.67585071374846
